0|224.61|224.47|204.74|187.46|193.20|204.45|205.69|1444.62|1639.75
1|8.93|7.46|5.75|4.07|4.13|4.28|4.86|39.47|50.13
2|30.51|30.48|29.26|27.26|26.02|25.17|23.47|192.17|198.01
3|379.25|388.35|387.19|396.48|397.15|388.28|385.63|2722.34|2772.27
4|261.56|261.16|261.12|261.13|260.46|258.41|257.98|1821.83|1816.19
5|0.21|0.21|0.21|0.21|0.21|0.21|0.21|1.47|1.47
6|124.79|123.31|127.93|131.95|135.24|135.84|134.56|913.62|941.74
7|161.34|222.87|106.82|97.15|78.15|73.87|92.76|832.96|598.41
8|2.89|1.80|0.52|3.14|3.00|0.25|1.63|13.25|14.35
9|116.51|116.14|116.24|116.23|116.71|116.60|116.73|815.17|816.95
10|9.91|9.80|9.68|9.85|9.82|9.85|10.05|68.96|68.79
11|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
12|5.02|5.12|5.14|5.21|5.21|5.29|5.42|36.41|41.59
13|77.63|49.36|52.88|54.37|55.83|55.83|52.43|398.34|376.11
14|103.50|109.05|107.82|120.71|104.85|113.78|100.19|759.90|671.07
15|202.12|206.08|207.35|205.92|204.01|204.82|201.20|1431.50|1333.69
16|260.17|252.94|258.05|260.88|269.09|271.02|283.65|1855.79|1941.70
17|219.69|214.32|213.61|215.34|220.99|228.72|234.53|1547.19|1739.26
18|499.38|500.91|503.74|510.02|509.58|507.67|505.40|3536.68|3526.60
19|283.36|283.20|283.24|283.14|282.96|283.20|283.20|1982.30|1981.75
20|8.91|8.47|8.95|8.92|9.14|9.28|9.58|63.26|61.44
21|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.07|0.07
22|66.93|88.96|93.76|94.53|89.48|64.95|43.97|542.58|534.76
23|63.24|68.81|77.34|71.55|69.61|73.18|84.07|507.80|620.86
24|203.36|201.30|198.59|194.68|195.74|202.66|204.09|1400.41|1399.37
25|233.82|274.47|282.49|250.55|257.76|295.67|296.27|1891.02|2004.40
26|437.93|438.21|438.70|438.48|438.27|437.98|437.89|3067.46|3065.71
27|83.96|83.92|84.13|84.43|84.81|84.60|84.39|590.24|590.27
28|69.47|77.81|77.98|79.83|85.64|90.52|92.57|573.82|590.36
29|0.00|0.00|124.55|318.58|298.57|297.74|257.59|1297.02|1432.99
30|393.67|292.04|303.22|279.01|301.40|317.77|293.14|2180.25|2353.54
31|476.83|471.01|460.23|442.61|465.89|470.97|463.05|3250.58|3278.45
32|198.25|199.25|200.35|200.97|201.39|201.80|200.73|1402.74|1405.98
33|2222.04|2320.90|2728.35|2784.32|2894.45|2897.09|2833.15|18680.30|16700.49
34|36.19|36.42|36.19|35.74|34.62|34.07|34.36|247.60|243.40
35|77.67|76.37|73.66|73.41|73.02|74.02|74.97|523.11|521.51
36|3378.54|2407.82|2069.97|2045.10|2849.95|3877.19|3860.96|20489.53|19405.93
37|86.96|88.94|90.99|91.34|87.26|85.68|84.16|615.34|619.98
38|244.35|247.37|248.91|249.03|248.63|247.91|247.91|1734.12|1730.50
39|366.01|367.09|366.07|366.08|366.21|366.48|366.69|2564.63|2561.27
40|70.97|69.92|68.24|68.12|68.52|69.33|69.21|484.32|484.46
41|33.18|32.41|32.64|32.96|32.86|32.57|32.60|229.21|228.68
42|2003.62|1922.41|12411.62|14595.82|13535.39|15731.07|14386.18|74586.12|75805.79
43|267.65|297.93|288.76|306.27|318.63|309.74|269.75|2058.73|1629.52
44|117.52|127.48|120.82|120.03|119.59|125.57|123.63|854.65|806.51
45|171.84|210.70|184.50|164.15|168.15|202.28|183.24|1284.85|1329.56
46|51.82|59.37|70.17|58.36|44.89|45.65|151.83|482.10|436.45
47|3633.14|3857.35|4168.10|4430.08|4103.92|3746.22|3652.36|27591.16|27327.21
48|386.52|392.12|383.48|385.27|381.53|377.80|376.18|2682.90|2641.92
49|0.71|0.40|1.19|0.57|0.97|0.72|0.95|5.52|5.42
50|25.58|65.36|30.48|14.09|28.61|33.76|24.99|222.87|186.57
51|198.51|200.12|206.46|212.66|185.04|192.71|221.38|1416.87|1468.74
52|196.29|187.89|174.91|168.46|172.62|176.55|179.62|1256.33|1218.63
53|3.02|0.52|14.75|15.02|19.85|15.62|12.96|81.74|85.26
54|147.12|149.81|151.61|155.83|156.35|154.36|157.34|1072.41|1108.07
55|144.49|144.33|145.06|145.23|145.74|146.22|146.73|1017.81|1030.27
56|210.68|210.52|210.74|210.57|212.75|213.14|211.27|1479.68|1473.12
57|446.13|503.06|466.03|489.28|471.42|460.39|456.75|3293.06|2959.87
58|196.90|190.99|188.42|203.44|207.33|214.04|227.91|1429.02|1607.08
59|73.35|75.50|77.81|78.44|79.01|81.11|81.17|546.40|565.43
60|387.71|386.05|384.78|377.70|367.01|372.65|389.01|2664.89|2611.95
