ID|SAMPLETIME|READINGINTEGER|READINGTHOUSANDTH|DELTAINTEGER|DELTATHOUSANDTH
0|2019-06-13 08:34:09|369320|0|17|0
0|2019-06-13 17:34:10|369403|0|2|0
0|2019-06-13 18:34:10|369403|0|0|0
0|2019-06-13 04:34:10|369284|0|1|0
0|2019-06-13 14:34:10|369356|0|28|0
0|2019-06-13 01:34:09|369283|0|0|0
0|2019-06-13 16:34:10|369401|0|42|0
0|2019-06-13 10:34:09|369323|0|0|0
0|2019-06-13 22:34:08|369511|0|15|0
0|2019-06-13 23:34:08|369552|0|41|0
0|2019-06-13 09:34:09|369323|0|3|0
0|2019-06-13 06:34:10|369291|0|7|0
0|2019-06-13 07:34:09|369303|0|12|0
0|2019-06-13 20:34:08|369494|0|88|0
0|2019-06-13 15:34:10|369359|0|3|0
0|2019-06-13 02:34:09|369283|0|0|0
0|2019-06-13 11:34:10|369323|0|0|0
0|2019-06-14 11:34:06|369642|0|39|0
0|2019-06-14 16:34:07|369690|0|6|0
0|2019-06-14 06:34:08|369575|0|11|0
0|2019-06-14 21:34:05|369792|0|83|0
0|2019-06-14 01:34:08|369564|0|7|0
0|2019-06-14 13:34:06|369671|0|0|0
0|2019-06-14 08:34:08|369602|0|16|0
0|2019-06-14 07:34:08|369586|0|11|0
0|2019-06-14 18:34:07|369693|0|3|0
0|2019-06-14 03:34:08|369564|0|0|0
0|2019-06-14 05:34:08|369564|0|0|0
0|2019-06-14 22:34:05|369805|0|13|0
0|2019-06-14 14:34:06|369684|0|13|0
0|2019-06-14 12:34:06|369671|0|29|0
0|2019-06-14 02:34:08|369564|0|0|0
0|2019-06-14 15:34:07|369684|0|0|0
0|2019-06-14 19:34:05|369696|0|3|0
0|2019-06-14 17:34:07|369690|0|0|0
0|2019-06-14 10:34:08|369603|0|1|0
0|2019-06-14 20:34:05|369709|0|13|0
0|2019-06-14 04:34:08|369564|0|0|0
0|2019-06-15 15:34:03|369883|0|0|0
0|2019-06-15 19:34:05|369961|0|0|0
0|2019-06-15 06:34:05|369812|0|0|0
0|2019-06-15 22:34:05|369961|0|0|0
0|2019-06-15 18:34:03|369961|0|9|0
0|2019-06-15 17:34:03|369952|0|41|0
0|2019-06-15 11:34:04|369883|0|28|0
0|2019-06-15 05:34:05|369812|0|5|0
0|2019-06-15 01:34:06|369807|0|0|0
0|2019-06-15 00:34:06|369807|0|0|0
0|2019-06-15 07:34:05|369812|0|0|0
0|2019-06-15 23:34:05|369961|0|0|0
0|2019-06-15 16:34:03|369911|0|28|0
0|2019-06-15 20:34:05|369961|0|0|0
0|2019-06-15 03:34:05|369807|0|0|0
0|2019-06-15 08:34:05|369836|0|24|0
0|2019-06-15 12:34:04|369883|0|0|0
0|2019-06-15 04:34:05|369807|0|0|0
0|2019-06-15 13:34:04|369883|0|0|0
0|2019-06-15 09:34:05|369847|0|11|0
0|2019-06-15 10:34:05|369855|0|8|0
0|2019-06-15 02:34:06|369807|0|0|0
0|2019-06-15 21:34:05|369961|0|0|0
0|2019-06-16 07:34:03|369981|0|0|0
0|2019-06-16 01:34:05|369977|0|1|0
0|2019-06-16 10:34:03|370048|0|48|0
0|2019-06-16 03:34:02|369981|0|0|0
0|2019-06-16 00:34:05|369976|0|15|0
0|2019-06-16 05:34:02|369981|0|0|0
0|2019-06-16 23:34:00|370262|0|47|0
0|2019-06-16 21:34:02|370178|0|0|0
0|2019-06-16 08:34:03|369988|0|7|0
0|2019-06-16 04:34:02|369981|0|0|0
0|2019-06-16 02:34:05|369981|0|4|0
0|2019-06-16 13:34:02|370098|0|25|0
0|2019-06-16 22:34:02|370215|0|37|0
0|2019-06-16 20:34:02|370178|0|0|0
0|2019-06-16 15:34:01|370128|0|30|0
0|2019-06-16 11:34:02|370058|0|10|0
0|2019-06-16 06:34:02|369981|0|0|0
0|2019-06-17 19:33:59|370368|0|0|0
0|2019-06-17 04:34:01|370264|0|0|0
0|2019-06-17 09:33:59|370287|0|2|0
0|2019-06-17 14:34:00|370358|0|9|0
0|2019-06-17 17:33:59|370363|0|5|0
0|2019-06-17 12:34:00|370348|0|13|0
0|2019-06-17 10:33:59|370299|0|12|0
0|2019-06-17 23:33:58|370472|0|97|0
0|2019-06-17 07:33:59|370265|0|1|0
0|2019-06-17 13:34:00|370349|0|1|0
0|2019-06-17 03:34:01|370264|0|0|0
0|2019-06-17 00:34:00|370264|0|2|0
0|2019-06-17 01:34:00|370264|0|0|0
0|2019-06-17 21:33:59|370370|0|2|0
0|2019-06-17 02:34:00|370264|0|0|0
0|2019-06-17 15:33:59|370358|0|0|0
0|2019-06-17 08:33:59|370285|0|20|0
0|2019-06-17 18:33:59|370368|0|5|0
0|2019-06-17 06:34:01|370264|0|0|0
0|2019-06-17 22:33:59|370375|0|5|0
0|2019-06-17 11:34:00|370335|0|36|0
0|2019-06-18 13:34:01|370522|0|1|0
0|2019-06-18 17:33:57|370573|0|0|0
0|2019-06-18 10:34:00|370514|0|0|0
0|2019-06-18 21:33:56|370581|0|0|0
0|2019-06-18 08:34:00|370514|0|8|0
0|2019-06-18 04:34:01|370482|0|0|0
0|2019-06-18 06:34:01|370483|0|0|0
0|2019-06-18 22:33:56|370585|0|4|0
0|2019-06-18 19:33:56|370578|0|5|0
0|2019-06-18 23:33:56|370597|0|12|0
0|2019-06-18 05:34:01|370483|0|1|0
0|2019-06-18 09:34:00|370514|0|0|0
0|2019-06-18 02:33:58|370482|0|0|0
0|2019-06-18 00:33:58|370477|0|5|0
0|2019-06-18 03:34:01|370482|0|0|0
0|2019-06-18 16:33:57|370573|0|24|0
0|2019-06-18 12:34:01|370521|0|7|0
0|2019-06-18 01:33:58|370482|0|5|0
0|2019-06-18 18:33:57|370573|0|0|0
0|2019-06-18 07:34:00|370506|0|23|0
0|2019-06-18 15:33:57|370549|0|5|0
0|2019-06-18 14:34:01|370544|0|22|0
0|2019-06-18 11:34:01|370514|0|0|0
0|2019-06-18 20:33:56|370581|0|3|0
0|2019-06-19 12:33:56|370656|0|0|0
0|2019-06-19 13:33:56|370656|0|0|0
0|2019-06-19 17:33:54|370672|0|0|0
0|2019-06-19 01:33:56|370599|0|0|0
0|2019-06-19 00:33:56|370599|0|2|0
0|2019-06-19 09:33:55|370635|0|4|0
0|2019-06-19 23:33:53|370701|0|3|0
0|2019-06-19 06:33:56|370610|0|10|0
0|2019-06-19 10:33:55|370635|0|0|0
0|2019-06-19 20:33:53|370672|0|0|0
0|2019-06-19 04:33:56|370599|0|0|0
0|2019-06-19 22:33:53|370698|0|12|0
0|2019-06-19 03:33:56|370599|0|0|0
0|2019-06-19 08:33:55|370631|0|21|0
0|2019-06-19 14:33:56|370657|0|1|0
0|2019-06-19 11:33:56|370656|0|21|0
0|2019-06-19 21:33:53|370686|0|14|0
0|2019-06-19 02:33:56|370599|0|0|0
0|2019-06-19 05:33:56|370600|0|1|0
0|2019-06-19 07:33:55|370610|0|0|0
0|2019-06-19 15:33:54|370657|0|0|0
0|2019-06-19 16:33:54|370672|0|15|0
0|2019-06-19 19:33:53|370672|0|0|0
0|2019-06-19 18:33:54|370672|0|0|0
0|2019-06-20 22:33:52|371084|0|0|0
0|2019-06-20 00:33:53|370706|0|5|0
